STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,Wind Capacity Factor_min,Wind Capacity Factor_max,Wind Capacity Factor_mean,Wind Capacity Factor_median,Wind Capacity Factor_stddev,Wind Capacity Factor_q1,Wind Capacity Factor_q3
"69","01779809",0400000US69,"69",MP,Commonwealth of the Northern Mariana Islands,"00","472292529","4644252461",,,,,,,
"44","01219835",0400000US44,"44",RI,Rhode Island,"00","2677779902","1323670487",0.388525,0.440119,0.410447,0.410364,0.015707,0.398079,0.414649
"21","01779786",0400000US21,"21",KY,Kentucky,"00","102279490672","2375337755",0.206288,0.395520,0.308647,0.300346,0.034856,0.284938,0.333453
"39","01085497",0400000US39,"39",OH,Ohio,"00","105828882568","10268850702",0.257736,0.422261,0.374321,0.378838,0.033239,0.355309,0.404515
"55","01779806",0400000US55,"55",WI,Wisconsin,"00","140290039723","29344951758",0.335122,0.455843,0.419177,0.427095,0.023954,0.399942,0.438539
"41","01155107",0400000US41,"41",OR,Oregon,"00","248606993270","6192386935",0.121288,0.403918,0.245589,0.241907,0.042491,0.211629,0.276666
"38","01779797",0400000US38,"38",ND,North Dakota,"00","178707534813","4403267548",0.359193,0.432377,0.390335,0.390257,0.010851,0.383927,0.396078
"05","00068085",0400000US05,"05",AR,Arkansas,"00","134768872727","2962859592",0.292727,0.469880,0.378177,0.370475,0.034773,0.353169,0.402715
"18","00448508",0400000US18,"18",IN,Indiana,"00","92789302676","1538002829",0.302267,0.425795,0.392352,0.398464,0.023376,0.375748,0.410859
"27","00662849",0400000US27,"27",MN,Minnesota,"00","206228939448","18945217189",0.360276,0.456776,0.420276,0.422015,0.018665,0.406169,0.435026
"09","01779780",0400000US09,"09",CT,Connecticut,"00","12542497068","1815617571",0.360961,0.422152,0.392279,0.392301,0.014804,0.382677,0.404016
