STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,Wind Capacity Factor_min,Wind Capacity Factor_max,Wind Capacity Factor_mean,Wind Capacity Factor_median,Wind Capacity Factor_stddev,Wind Capacity Factor_q1,Wind Capacity Factor_q3
"28","01779790",0400000US28,"28",MS,Mississippi,"00","121533519481","3926919758",0.266044,0.344674,0.309965,0.310203,0.013090,0.301854,0.317343
"37","01027616",0400000US37,"37",NC,North Carolina,"00","125923656064","13466071395",0.187426,0.497536,0.319899,0.323285,0.033675,0.301866,0.338982
"40","01102857",0400000US40,"40",OK,Oklahoma,"00","177662925723","3374587997",0.348329,0.486997,0.461498,0.470941,0.026102,0.458014,0.475939
"51","01779803",0400000US51,"51",VA,Virginia,"00","102257717110","8528531774",0.205378,0.428450,0.320169,0.317217,0.038673,0.297307,0.341591
"54","01779805",0400000US54,"54",WV,West Virginia,"00","62266474513","489028543",0.239067,0.463370,0.333637,0.330969,0.040815,0.302101,0.361358
"22","01629543",0400000US22,"22",LA,Louisiana,"00","111897594374","23753621895",0.313256,0.400675,0.331252,0.328741,0.012886,0.323859,0.333756
"26","01779789",0400000US26,"26",MI,Michigan,"00","146600952990","103885855702",0.343932,0.433042,0.402115,0.409326,0.017626,0.391826,0.414349
"25","00606926",0400000US25,"25",MA,Massachusetts,"00","20205125364","7129925486",0.341423,0.450553,0.395191,0.393084,0.024375,0.375458,0.411758
"16","01779783",0400000US16,"16",ID,Idaho,"00","214049787659","2391722557",0.102247,0.433462,0.234656,0.230315,0.043296,0.207452,0.261462
"12","00294478",0400000US12,"12",FL,Florida,"00","138949136250","31361101223",0.267106,0.342599,0.296796,0.299111,0.014284,0.283435,0.307562
"31","01779792",0400000US31,"31",NE,Nebraska,"00","198956658395","1371829134",0.189282,0.475639,0.370318,0.378626,0.054176,0.341580,0.411404
"53","01779804",0400000US53,"53",WA,Washington,"00","172112588220","12559278850",0.135832,0.389336,0.261563,0.257939,0.045655,0.227928,0.293202
"35","00897535",0400000US35,"35",NM,New Mexico,"00","314196306401","728776523",0.130429,0.417065,0.292153,0.296701,0.044809,0.260492,0.325895
"72","01779808",0400000US72,"72",PR,Puerto Rico,"00","8868896030","4922382562",,,,,,,
"46","01785534",0400000US46,"46",SD,South Dakota,"00","196346981786","3382720225",0.284113,0.452201,0.369675,0.371025,0.030528,0.351844,0.385012
"48","01779801",0400000US48,"48",TX,Texas,"00","676653171537","19006305260",0.212970,0.518507,0.407355,0.418557,0.046607,0.385058,0.441320
"06","01779778",0400000US06,"06",CA,California,"00","403503931312","20463871877",0.041071,0.368991,0.217779,0.226743,0.062396,0.180278,0.260122
"01","01779775",0400000US01,"01",AL,Alabama,"00","131174048583","4593327154",0.261192,0.344442,0.299840,0.300709,0.013864,0.292089,0.311011
"13","01705317",0400000US13,"13",GA,Georgia,"00","149482048342","4422936154",0.243873,0.348030,0.310461,0.314083,0.016036,0.301336,0.323689
"42","01779798",0400000US42,"42",PA,Pennsylvania,"00","115884442321","3394589990",0.327720,0.471752,0.381749,0.379510,0.022257,0.365977,0.396726
"29","01779791",0400000US29,"29",MO,Missouri,"00","178050802184","2489425460",0.285071,0.481957,0.421064,0.443274,0.053324,0.391481,0.461545
