STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,PV Capacity Factor_min,PV Capacity Factor_max,PV Capacity Factor_mean,PV Capacity Factor_median,PV Capacity Factor_stddev,PV Capacity Factor_q1,PV Capacity Factor_q3
"28","01779790",0400000US28,"28",MS,Mississippi,"00","121533519481","3926919758",0.186734,0.200106,0.193598,0.193644,0.002024,0.192232,0.194985
"37","01027616",0400000US37,"37",NC,North Carolina,"00","125923656064","13466071395",0.175649,0.192498,0.184642,0.184923,0.002810,0.182695,0.186664
"40","01102857",0400000US40,"40",OK,Oklahoma,"00","177662925723","3374587997",0.185558,0.225605,0.202227,0.201960,0.008534,0.195821,0.208810
"51","01779803",0400000US51,"51",VA,Virginia,"00","102257717110","8528531774",0.168706,0.188033,0.179364,0.179123,0.002858,0.177502,0.181085
"54","01779805",0400000US54,"54",WV,West Virginia,"00","62266474513","489028543",0.166260,0.179255,0.174002,0.174607,0.002377,0.172705,0.175778
"22","01629543",0400000US22,"22",LA,Louisiana,"00","111897594374","23753621895",0.188518,0.203014,0.195517,0.195570,0.002688,0.194016,0.197312
"26","01779789",0400000US26,"26",MI,Michigan,"00","146600952990","103885855702",0.154531,0.177055,0.165756,0.165661,0.005543,0.160426,0.170420
"25","00606926",0400000US25,"25",MA,Massachusetts,"00","20205125364","7129925486",0.157192,0.175847,0.169567,0.169328,0.002752,0.167554,0.171449
"16","01779783",0400000US16,"16",ID,Idaho,"00","214049787659","2391722557",0.149985,0.210896,0.188377,0.191704,0.012492,0.183373,0.197309
"12","00294478",0400000US12,"12",FL,Florida,"00","138949136250","31361101223",0.187023,0.207035,0.197985,0.199111,0.004740,0.194296,0.202028
"31","01779792",0400000US31,"31",NE,Nebraska,"00","198956658395","1371829134",0.176543,0.205409,0.185752,0.185173,0.004708,0.182491,0.187719
"53","01779804",0400000US53,"53",WA,Washington,"00","172112588220","12559278850",0.132572,0.200432,0.166317,0.173477,0.017317,0.147088,0.180469
"35","00897535",0400000US35,"35",NM,New Mexico,"00","314196306401","728776523",0.209425,0.246371,0.236161,0.236793,0.005337,0.233126,0.239441
"72","01779808",0400000US72,"72",PR,Puerto Rico,"00","8868896030","4922382562",,,,,,,
"46","01785534",0400000US46,"46",SD,South Dakota,"00","196346981786","3382720225",0.169130,0.186836,0.176852,0.176279,0.003741,0.174302,0.179451
"48","01779801",0400000US48,"48",TX,Texas,"00","676653171537","19006305260",0.187048,0.245596,0.210561,0.205890,0.015395,0.198015,0.221858
"06","01779778",0400000US06,"06",CA,California,"00","403503931312","20463871877",0.169959,0.252474,0.225538,0.225642,0.014751,0.215165,0.238582
"01","01779775",0400000US01,"01",AL,Alabama,"00","131174048583","4593327154",0.182541,0.199738,0.189123,0.189143,0.002588,0.187600,0.190695
"13","01705317",0400000US13,"13",GA,Georgia,"00","149482048342","4422936154",0.178823,0.197739,0.188594,0.188812,0.003034,0.186391,0.190514
"42","01779798",0400000US42,"42",PA,Pennsylvania,"00","115884442321","3394589990",0.164108,0.182822,0.170098,0.169058,0.003276,0.167685,0.172289
"29","01779791",0400000US29,"29",MO,Missouri,"00","178050802184","2489425460",0.179561,0.193429,0.185209,0.184779,0.002645,0.183315,0.186761
"08","01779779",0400000US08,"08",CO,Colorado,"00","268422891711","1181621593",0.176581,0.231954,0.210268,0.210454,0.011192,0.202109,0.220251
